id,x,y,theta
0,10,0,1.5708
1,9.98027,0.627905,1.63363
2,9.92115,1.25333,1.69646
3,9.82287,1.87381,1.75929
4,9.68583,2.4869,1.82212
5,9.51057,3.09017,1.88496
6,9.29776,3.68125,1.94779
7,9.04827,4.25779,2.01062
8,8.76307,4.81754,2.07345
9,8.44328,5.35827,2.13628
10,8.09017,5.87785,2.19911
11,7.70513,6.37424,2.26195
12,7.28969,6.84547,2.32478
13,6.84547,7.28969,2.38761
14,6.37424,7.70513,2.45044
15,5.87785,8.09017,2.51327
16,5.35827,8.44328,2.57611
17,4.81754,8.76307,2.63894
18,4.25779,9.04827,2.70177
19,3.68125,9.29776,2.7646
20,3.09017,9.51057,2.82743
21,2.4869,9.68583,2.89027
22,1.87381,9.82287,2.9531
23,1.25333,9.92115,3.01593
24,0.627905,9.98027,3.07876
25,6.12323e-16,10,3.14159
26,-0.627905,9.98027,3.20442
27,-1.25333,9.92115,3.26726
28,-1.87381,9.82287,3.33009
29,-2.4869,9.68583,3.39292
30,-3.09017,9.51057,3.45575
31,-3.68125,9.29776,3.51858
32,-4.25779,9.04827,3.58142
33,-4.81754,8.76307,3.64425
34,-5.35827,8.44328,3.70708
35,-5.87785,8.09017,3.76991
36,-6.37424,7.70513,3.83274
37,-6.84547,7.28969,3.89557
38,-7.28969,6.84547,3.95841
39,-7.70513,6.37424,4.02124
40,-8.09017,5.87785,4.08407
41,-8.44328,5.35827,4.1469
42,-8.76307,4.81754,4.20973
43,-9.04827,4.25779,4.27257
44,-9.29776,3.68125,4.3354
45,-9.51057,3.09017,4.39823
46,-9.68583,2.4869,4.46106
47,-9.82287,1.87381,4.52389
48,-9.92115,1.25333,4.58673
49,-9.98027,0.627905,4.64956
50,-10,1.22465e-15,4.71239
51,-9.98027,-0.627905,4.77522
52,-9.92115,-1.25333,4.83805
53,-9.82287,-1.87381,4.90088
54,-9.68583,-2.4869,4.96372
55,-9.51057,-3.09017,5.02655
56,-9.29776,-3.68125,5.08938
57,-9.04827,-4.25779,5.15221
58,-8.76307,-4.81754,5.21504
59,-8.44328,-5.35827,5.27788
60,-8.09017,-5.87785,5.34071
61,-7.70513,-6.37424,5.40354
62,-7.28969,-6.84547,5.46637
63,-6.84547,-7.28969,5.5292
64,-6.37424,-7.70513,5.59203
65,-5.87785,-8.09017,5.65487
66,-5.35827,-8.44328,5.7177
67,-4.81754,-8.76307,5.78053
68,-4.25779,-9.04827,5.84336
69,-3.68125,-9.29776,5.90619
70,-3.09017,-9.51057,5.96903
71,-2.4869,-9.68583,6.03186
72,-1.87381,-9.82287,6.09469
73,-1.25333,-9.92115,6.15752
74,-0.627905,-9.98027,6.22035
75,-1.83697e-15,-10,6.28319
76,0.627905,-9.98027,6.34602
77,1.25333,-9.92115,6.40885
78,1.87381,-9.82287,6.47168
79,2.4869,-9.68583,6.53451
80,3.09017,-9.51057,6.59734
81,3.68125,-9.29776,6.66018
82,4.25779,-9.04827,6.72301
83,4.81754,-8.76307,6.78584
84,5.35827,-8.44328,6.84867
85,5.87785,-8.09017,6.9115
86,6.37424,-7.70513,6.97434
87,6.84547,-7.28969,7.03717
88,7.28969,-6.84547,7.1
89,7.70513,-6.37424,7.16283
90,8.09017,-5.87785,7.22566
91,8.44328,-5.35827,7.28849
92,8.76307,-4.81754,7.35133
93,9.04827,-4.25779,7.41416
94,9.29776,-3.68125,7.47699
95,9.51057,-3.09017,7.53982
96,9.68583,-2.4869,7.60265
97,9.82287,-1.87381,7.66549
98,9.92115,-1.25333,7.72832
99,9.98027,-0.627905,7.79115
100,35,0,1.5708
101,34.9803,0.627905,1.63363
102,34.9211,1.25333,1.69646
103,34.8229,1.87381,1.75929
104,34.6858,2.4869,1.82212
105,34.5106,3.09017,1.88496
106,34.2978,3.68125,1.94779
107,34.0483,4.25779,2.01062
108,33.7631,4.81754,2.07345
109,33.4433,5.35827,2.13628
110,33.0902,5.87785,2.19911
111,32.7051,6.37424,2.26195
112,32.2897,6.84547,2.32478
113,31.8455,7.28969,2.38761
114,31.3742,7.70513,2.45044
115,30.8779,8.09017,2.51327
116,30.3583,8.44328,2.57611
117,29.8175,8.76307,2.63894
118,29.2578,9.04827,2.70177
119,28.6812,9.29776,2.7646
120,28.0902,9.51057,2.82743
121,27.4869,9.68583,2.89027
122,26.8738,9.82287,2.9531
123,26.2533,9.92115,3.01593
124,25.6279,9.98027,3.07876
125,25,10,3.14159
126,24.3721,9.98027,3.20442
127,23.7467,9.92115,3.26726
128,23.1262,9.82287,3.33009
129,22.5131,9.68583,3.39292
130,21.9098,9.51057,3.45575
131,21.3188,9.29776,3.51858
132,20.7422,9.04827,3.58142
133,20.1825,8.76307,3.64425
134,19.6417,8.44328,3.70708
135,19.1221,8.09017,3.76991
136,18.6258,7.70513,3.83274
137,18.1545,7.28969,3.89557
138,17.7103,6.84547,3.95841
139,17.2949,6.37424,4.02124
140,16.9098,5.87785,4.08407
141,16.5567,5.35827,4.1469
142,16.2369,4.81754,4.20973
143,15.9517,4.25779,4.27257
144,15.7022,3.68125,4.3354
145,15.4894,3.09017,4.39823
146,15.3142,2.4869,4.46106
147,15.1771,1.87381,4.52389
148,15.0789,1.25333,4.58673
149,15.0197,0.627905,4.64956
150,15,1.22465e-15,4.71239
151,15.0197,-0.627905,4.77522
152,15.0789,-1.25333,4.83805
153,15.1771,-1.87381,4.90088
154,15.3142,-2.4869,4.96372
155,15.4894,-3.09017,5.02655
156,15.7022,-3.68125,5.08938
157,15.9517,-4.25779,5.15221
158,16.2369,-4.81754,5.21504
159,16.5567,-5.35827,5.27788
160,16.9098,-5.87785,5.34071
161,17.2949,-6.37424,5.40354
162,17.7103,-6.84547,5.46637
163,18.1545,-7.28969,5.5292
164,18.6258,-7.70513,5.59203
165,19.1221,-8.09017,5.65487
166,19.6417,-8.44328,5.7177
167,20.1825,-8.76307,5.78053
168,20.7422,-9.04827,5.84336
169,21.3188,-9.29776,5.90619
170,21.9098,-9.51057,5.96903
171,22.5131,-9.68583,6.03186
172,23.1262,-9.82287,6.09469
173,23.7467,-9.92115,6.15752
174,24.3721,-9.98027,6.22035
175,25,-10,6.28319
176,25.6279,-9.98027,6.34602
177,26.2533,-9.92115,6.40885
178,26.8738,-9.82287,6.47168
179,27.4869,-9.68583,6.53451
180,28.0902,-9.51057,6.59734
181,28.6812,-9.29776,6.66018
182,29.2578,-9.04827,6.72301
183,29.8175,-8.76307,6.78584
184,30.3583,-8.44328,6.84867
185,30.8779,-8.09017,6.9115
186,31.3742,-7.70513,6.97434
187,31.8455,-7.28969,7.03717
188,32.2897,-6.84547,7.1
189,32.7051,-6.37424,7.16283
190,33.0902,-5.87785,7.22566
191,33.4433,-5.35827,7.28849
192,33.7631,-4.81754,7.35133
193,34.0483,-4.25779,7.41416
194,34.2978,-3.68125,7.47699
195,34.5106,-3.09017,7.53982
196,34.6858,-2.4869,7.60265
197,34.8229,-1.87381,7.66549
198,34.9211,-1.25333,7.72832
199,34.9803,-0.627905,7.79115
200,60,0,1.5708
201,59.9803,0.627905,1.63363
202,59.9211,1.25333,1.69646
203,59.8229,1.87381,1.75929
204,59.6858,2.4869,1.82212
205,59.5106,3.09017,1.88496
206,59.2978,3.68125,1.94779
207,59.0483,4.25779,2.01062
208,58.7631,4.81754,2.07345
209,58.4433,5.35827,2.13628
210,58.0902,5.87785,2.19911
211,57.7051,6.37424,2.26195
212,57.2897,6.84547,2.32478
213,56.8455,7.28969,2.38761
214,56.3742,7.70513,2.45044
215,55.8779,8.09017,2.51327
216,55.3583,8.44328,2.57611
217,54.8175,8.76307,2.63894
218,54.2578,9.04827,2.70177
219,53.6812,9.29776,2.7646
220,53.0902,9.51057,2.82743
221,52.4869,9.68583,2.89027
222,51.8738,9.82287,2.9531
223,51.2533,9.92115,3.01593
224,50.6279,9.98027,3.07876
225,50,10,3.14159
226,49.3721,9.98027,3.20442
227,48.7467,9.92115,3.26726
228,48.1262,9.82287,3.33009
229,47.5131,9.68583,3.39292
230,46.9098,9.51057,3.45575
231,46.3188,9.29776,3.51858
232,45.7422,9.04827,3.58142
233,45.1825,8.76307,3.64425
234,44.6417,8.44328,3.70708
235,44.1221,8.09017,3.76991
236,43.6258,7.70513,3.83274
237,43.1545,7.28969,3.89557
238,42.7103,6.84547,3.95841
239,42.2949,6.37424,4.02124
240,41.9098,5.87785,4.08407
241,41.5567,5.35827,4.1469
242,41.2369,4.81754,4.20973
243,40.9517,4.25779,4.27257
244,40.7022,3.68125,4.3354
245,40.4894,3.09017,4.39823
246,40.3142,2.4869,4.46106
247,40.1771,1.87381,4.52389
248,40.0789,1.25333,4.58673
249,40.0197,0.627905,4.64956
250,40,1.22465e-15,4.71239
251,40.0197,-0.627905,4.77522
252,40.0789,-1.25333,4.83805
253,40.1771,-1.87381,4.90088
254,40.3142,-2.4869,4.96372
