id,x,y,theta
0,10,0,1.5708
1,9.49932,1.09554,-3.05602
2,9.51049,1.72016,-2.98824
3,9.36816,2.43075,-2.93844
4,9.23606,3.11407,-2.88015
5,9.0668,3.6693,-2.81785
6,8.8844,4.22392,-2.74339
7,8.6628,4.76665,-2.67259
8,8.33049,5.29925,-2.62358
9,7.98453,5.83463,-2.55759
10,7.61406,6.29459,-2.49753
11,7.317,6.83166,-2.44635
12,6.85621,7.25271,-2.37707
13,6.37491,7.70604,-2.31442
14,5.97096,8.2148,-2.26333
15,5.53835,8.64849,-2.20512
16,5.05466,9.02524,-2.13614
17,4.41664,9.3593,-2.07582
18,3.84434,9.64136,-2.00823
19,3.18031,9.91341,-1.94356
20,2.56635,10.031,-1.89643
21,1.95133,10.1832,-1.80861
22,1.28252,10.2558,-1.72984
23,0.668746,10.317,-1.67775
24,0.0766276,10.4415,-1.61762
25,-0.61307,10.4708,-1.5675
26,-1.24729,10.3809,-1.51191
27,-1.94374,10.3513,-1.45043
28,-2.53339,10.3025,-1.38946
29,-3.20596,10.157,-1.32107
30,-3.81747,9.97711,-1.24963
31,-4.42253,9.71091,-1.19954
32,-4.96499,9.40932,-1.13744
33,-5.58367,9.10071,-1.07949
34,-6.14473,8.66702,-1.01137
35,-6.72444,8.34721,-0.941576
36,-7.18598,7.94469,-0.87608
37,-7.71578,7.57928,-0.822358
38,-8.12482,7.20195,-0.777217
39,-8.555,6.73347,-0.716157
40,-8.90924,6.2254,-0.65163
41,-9.26567,5.8045,-0.585587
42,-9.52606,5.21457,-0.518869
43,-9.83846,4.63041,-0.46028
44,-10.0632,4.12664,-0.40162
45,-10.2588,3.51183,-0.349644
46,-10.5011,2.95565,-0.298381
47,-10.6076,2.36492,-0.233017
48,-10.6372,1.81129,-0.181485
49,-10.638,1.22558,-0.120766
50,-10.5822,0.658423,-0.0509867
51,-10.473,0.0898468,0.0166788
52,-10.4426,-0.425148,0.0818069
53,-10.3506,-1.05687,0.14162
54,-10.2102,-1.72904,0.188859
55,-10.0544,-2.40089,0.246105
56,-9.77571,-3.0694,0.321896
57,-9.56484,-3.63271,0.388721
58,-9.33426,-4.17259,0.450669
59,-9.05187,-4.85078,0.508486
60,-8.67753,-5.32679,0.574453
61,-8.35647,-5.78258,0.633912
62,-7.8539,-6.25788,0.701116
63,-7.36291,-6.64974,0.767818
64,-7.02117,-7.10043,0.835009
65,-6.48952,-7.52448,0.900848
66,-6.0099,-7.90687,0.958269
67,-5.45158,-8.214,1.01334
68,-4.95729,-8.52916,1.08222
69,-4.37333,-8.79596,1.15388
70,-3.79884,-9.00581,1.22176
71,-3.17657,-9.19233,1.29143
72,-2.59246,-9.35482,1.35417
73,-1.98783,-9.51133,1.41785
74,-1.31388,-9.60015,1.48465
75,-0.752211,-9.62928,1.55739
76,-0.0286414,-9.65048,1.61786
77,0.569589,-9.525,1.68232
78,1.13914,-9.45914,1.75141
79,1.75811,-9.27903,1.80323
80,2.38622,-9.08191,1.86665
81,2.97377,-8.86261,1.92478
82,3.58638,-8.65319,1.99277
83,4.18687,-8.35597,2.05206
84,4.69577,-8.01732,2.14026
85,5.25957,-7.68039,2.21008
86,5.7543,-7.25844,2.2788
87,6.21572,-6.80142,2.35045
88,6.62755,-6.27919,2.40112
89,7.16519,-5.83417,2.46109
90,7.53473,-5.42905,2.51793
91,7.94323,-4.92191,2.58695
92,8.27721,-4.44419,2.65804
93,8.53794,-3.95939,2.72022
94,8.87756,-3.3725,2.80419
95,9.05451,-2.77284,2.87053
96,9.17795,-2.15503,2.92932
97,9.32654,-1.62348,2.98854
98,9.4566,-0.99724,3.03775
99,9.52968,-0.281458,3.10194
100,34.8884,0.293876,1.44935
101,34.584,1.07774,-3.0441
102,34.5214,1.75142,-2.9821
103,34.4412,2.30009,-2.91486
104,34.2616,2.87931,-2.83518
105,34.0988,3.57028,-2.78639
106,33.8481,4.20758,-2.71175
107,33.6243,4.91599,-2.64137
108,33.3366,5.3866,-2.57275
109,32.9539,5.96271,-2.50456
110,32.6845,6.41646,-2.44199
111,32.3379,6.89773,-2.37084
112,31.9336,7.36855,-2.29712
113,31.4495,7.79962,-2.23373
114,31.056,8.22142,-2.16159
115,30.4893,8.55432,-2.1002
116,29.9208,8.81926,-2.03203
117,29.3463,9.17557,-1.9542
118,28.7505,9.49772,-1.891
119,28.2672,9.79699,-1.84393
120,27.7064,10.0257,-1.78595
121,27.1041,10.1908,-1.73231
122,26.4054,10.3043,-1.66419
123,25.7396,10.3573,-1.58971
124,25.0738,10.4247,-1.53445
125,24.4728,10.5417,-1.47663
126,23.8788,10.5831,-1.43308
127,23.239,10.5525,-1.35803
128,22.6548,10.4492,-1.29425
129,22.0602,10.3544,-1.23257
130,21.4351,10.1511,-1.17677
131,20.8909,9.90448,-1.1049
132,20.2796,9.63816,-1.03598
133,19.726,9.44711,-0.98705
134,19.145,9.152,-0.928815
135,18.6386,8.78832,-0.876117
136,18.2004,8.37543,-0.811628
137,17.7562,8.01357,-0.749722
138,17.3041,7.57874,-0.698919
139,16.8103,7.08448,-0.631827
140,16.4007,6.56459,-0.561677
141,15.9841,6.03793,-0.510623
142,15.7079,5.47878,-0.440502
143,15.4169,4.93252,-0.365997
144,15.2956,4.32265,-0.296475
145,15.1116,3.6121,-0.238749
146,14.9659,2.99502,-0.17866
147,14.901,2.41578,-0.119371
148,14.7889,1.84977,-0.053403
149,14.6572,1.16527,0.0113353
150,14.5901,0.50536,0.0663246
151,14.6534,-0.0867487,0.139056
152,14.6932,-0.711584,0.198844
153,14.7246,-1.43898,0.253946
154,15.0308,-1.99117,0.317712
155,15.1724,-2.60014,0.378024
156,15.4455,-3.19887,0.437833
157,15.6449,-3.72259,0.514194
158,16.0649,-4.2093,0.570697
159,16.3964,-4.6819,0.631653
160,16.6863,-5.29372,0.695341
161,17.0853,-5.71055,0.762671
162,17.5305,-6.11542,0.811083
163,17.9044,-6.57256,0.873319
164,18.3161,-6.97188,0.940126
165,18.8484,-7.31138,1.01237
166,19.3542,-7.518,1.08241
167,19.8733,-7.79766,1.15165
168,20.4492,-8.09507,1.20682
169,21.0279,-8.41811,1.27368
170,21.5499,-8.63087,1.3418
171,22.2172,-8.85095,1.39695
172,22.8764,-9.00081,1.47583
173,23.497,-9.03597,1.53277
174,24.0842,-9.08647,1.59977
175,24.6543,-9.1432,1.68089
176,25.2861,-9.17426,1.75629
177,25.8774,-9.13327,1.82325
178,26.5322,-9.0602,1.8776
179,27.1697,-8.91256,1.94523
180,27.7523,-8.82012,2.0074
181,28.2466,-8.64113,2.0623
182,28.7807,-8.41989,2.1103
183,29.377,-8.14757,2.15669
184,29.9314,-7.89259,2.22295
185,30.4658,-7.56756,2.285
186,31.0318,-7.19827,2.35166
187,31.4297,-6.77121,2.41921
188,31.9126,-6.42097,2.49373
189,32.2804,-5.93125,2.55015
190,32.6301,-5.3931,2.60637
191,32.9148,-4.84102,2.66741
192,33.2786,-4.29178,2.7386
193,33.6037,-3.69649,2.80091
194,33.8954,-3.082,2.87399
195,34.0475,-2.5,2.9515
196,34.2828,-1.76248,3.00225
197,34.442,-1.17412,3.06318
198,34.5365,-0.566146,3.11724
199,34.674,-0.0090985,3.17767
200,59.6681,0.645195,-3.04439
201,59.6171,1.2746,-2.98606
202,59.4968,1.85423,-2.9201
203,59.3608,2.39706,-2.85762
204,59.2118,3.09489,-2.79048
205,59.0646,3.59191,-2.7199
206,58.8894,4.14993,-2.66138
207,58.6723,4.71173,-2.61012
208,58.3649,5.25721,-2.53328
209,58.0208,5.78617,-2.46716
210,57.6949,6.37815,-2.41208
211,57.3548,6.86808,-2.35503
212,56.975,7.28299,-2.29458
213,56.5245,7.62259,-2.23239
214,56.1292,8.00248,-2.16936
215,55.5858,8.40291,-2.10389
216,55.0735,8.76892,-2.04027
217,54.577,9.14009,-1.98602
218,54.0138,9.43158,-1.91408
219,53.4299,9.73087,-1.8525
220,52.8022,9.99041,-1.79521
221,52.1103,10.217,-1.73676
222,51.5123,10.3455,-1.68386
223,50.8368,10.3997,-1.62041
224,50.2258,10.4927,-1.56206
225,49.5771,10.5334,-1.5083
226,48.9423,10.4634,-1.46231
227,48.3891,10.4326,-1.39784
228,47.753,10.2507,-1.31466
229,47.0721,10.0753,-1.25333
230,46.5117,9.87894,-1.18877
231,45.8669,9.65687,-1.12422
232,45.2823,9.46097,-1.05256
233,44.8118,9.19065,-0.994716
234,44.244,8.84595,-0.939605
235,43.7161,8.4793,-0.869049
236,43.1579,8.04803,-0.819933
237,42.735,7.55529,-0.764576
238,42.3178,7.08069,-0.702773
239,41.9253,6.55662,-0.634167
240,41.4618,6.02397,-0.580261
241,41.2681,5.54772,-0.514021
242,40.9085,5.08319,-0.443213
243,40.4913,4.5701,-0.368299
244,40.191,3.87286,-0.311991
245,39.9768,3.23291,-0.238224
246,39.8514,2.66329,-0.192825
247,39.7248,2.06327,-0.143119
248,39.6304,1.52651,-0.0748664
249,39.5524,0.854468,-0.0140107
250,39.492,0.281099,0.0513828
251,39.5553,-0.404769,0.11655
252,39.621,-0.959651,0.190219
253,39.6256,-1.54707,0.262837
254,39.7091,-2.14804,0.322591
255,39.748,-2.75921,0.387025
256,39.949,-3.35893,0.456821
257,40.1659,-3.93368,0.528865
258,40.4815,-4.49293,0.594184
259,40.7107,-5.10903,0.650292
260,41.1085,-5.62798,0.692496
261,41.5282,-5.96615,0.744482
262,41.9438,-6.50098,0.792593
263,42.4887,-6.99758,0.851528
264,43.0044,-7.43423,0.908479
265,43.4206,-7.78471,0.96876
266,43.9348,-8.29882,1.01214
267,44.476,-8.65124,1.0602
268,45.0167,-8.94737,1.11847
269,45.5649,-9.13537,1.16934
270,46.2231,-9.36055,1.23234
271,46.8509,-9.58182,1.2949
272,47.5288,-9.71268,1.36061
273,48.1843,-9.78463,1.42726
274,48.9043,-9.83067,1.49715
275,49.549,-9.86827,1.54358
276,50.184,-9.8,1.59496
277,50.853,-9.79186,1.65201
278,51.4137,-9.75369,1.72453
279,51.9354,-9.6095,1.77765
280,52.4836,-9.39959,1.83669
281,53.1401,-9.21778,1.88961
282,53.6873,-8.92268,1.95829
283,54.2544,-8.64021,2.01642
284,54.7426,-8.31239,2.07614
285,55.322,-7.96779,2.15001
286,55.8242,-7.63757,2.21043
287,56.3237,-7.10272,2.27732
288,56.7829,-6.59582,2.34877
289,57.1784,-6.10655,2.40338
290,57.5767,-5.59378,2.47474
291,58.064,-5.01469,2.53682
292,58.3463,-4.35769,2.57861
293,58.6777,-3.74195,2.65463
294,58.8632,-3.05548,2.72075
295,59.0168,-2.46369,2.78519
296,59.1971,-1.86325,2.84221
297,59.3914,-1.32899,2.91485
298,59.5204,-0.724991,2.98121
299,59.5359,-0.0446181,3.03427
300,8.94327,0.936243,1.59196
301,34.5835,0.442625,-3.10966
302,9.57988,0.491439,-3.13438
